storepoint_id,sub_table_id,store_id,store_name
70a6f3f8f6784e9899532bd844fbd4b9,1,e097b057785a49c09fd39398cdd9368b,1仓1区-01廒-01堆
70a6f3f8f6784e9899532bd844fbd4b9,1,618fd4a2bbe2430c820a6ad0c4fd81aa,1仓2区-01廒-01堆
70a6f3f8f6784e9899532bd844fbd4b9,1,da0581aaa9da4ac6a781b67f3c7876bd,1仓3区-01廒-01堆
70a6f3f8f6784e9899532bd844fbd4b9,1,e2a54e8087664ffd9e9cca95749b66fa,1仓4区-01廒-01堆
70a6f3f8f6784e9899532bd844fbd4b9,1,314f51aeaae94d84bcded5f66ec8a581,2仓1区-01廒-01堆
70a6f3f8f6784e9899532bd844fbd4b9,1,9d21efe04bca431d99cd138508c55306,2仓2区-01廒-01堆
70a6f3f8f6784e9899532bd844fbd4b9,1,b9b955a02aa34fe3b394945da9e58b9e,4仓东区-01廒-01堆
70a6f3f8f6784e9899532bd844fbd4b9,1,ac980a109c4d4d878f45afff984f02ec,4仓东区-02廒-01堆
70a6f3f8f6784e9899532bd844fbd4b9,1,41ab8d70f0ba431fb90d75eeccd1e94e,4仓西区-01廒-01堆
70a6f3f8f6784e9899532bd844fbd4b9,1,605d700e5de048c688ff15dcb21fead5,5仓-01廒-01堆
70a6f3f8f6784e9899532bd844fbd4b9,1,18aa67d52b9541659343818054eb2661,6仓东区-01廒-01堆
70a6f3f8f6784e9899532bd844fbd4b9,1,e3746bd9fed04f40851aa625d9e5420b,6仓西区-01廒-01堆
70a6f3f8f6784e9899532bd844fbd4b9,1,3c893fd72209401f9ca185250a1b3373,7仓-01廒-01堆
70a6f3f8f6784e9899532bd844fbd4b9,1,fb589052a4c643b08fa3f54e96bc9958,8仓-01廒-01堆
70a6f3f8f6784e9899532bd844fbd4b9,1,a851041747ce4aa8a680a1cc87e896ac,9仓-01廒-01堆
DC8AE4C0AB05445CAB896E42066B36A2,10,444501997B9E4B919E61C52FB7A5AAE1,1A-01
DC8AE4C0AB05445CAB896E42066B36A2,10,627EA7E6F8C244D3AF78373DD77B341B,1A-02
DC8AE4C0AB05445CAB896E42066B36A2,10,4732168396D247468CEB04ED541CABA8,1A-03
DC8AE4C0AB05445CAB896E42066B36A2,10,FE44B4A9F3FA49EE91934708C79B8D21,1A-04
DC8AE4C0AB05445CAB896E42066B36A2,10,43C2F293418D4714BFEAFD7CA3BE3580,1A-05
DC8AE4C0AB05445CAB896E42066B36A2,10,C934569CFA934AB5A213BA4C40218614,1A-06
DC8AE4C0AB05445CAB896E42066B36A2,10,4E1F07A7BA2141E7B5DAA58E3031BC6B,1A-07
DC8AE4C0AB05445CAB896E42066B36A2,10,E9B77595D90C49F59FADBDDA5CC73293,1A-08
DC8AE4C0AB05445CAB896E42066B36A2,10,D28CE8363E3040978BAF01B925D7A9D3,1A-09
DC8AE4C0AB05445CAB896E42066B36A2,10,BD7E7DDBECA1434F95F229892643D1FD,1A-10
DC8AE4C0AB05445CAB896E42066B36A2,10,721BA347D75A437AB3DBD9BCA84F2727,1A-11
DC8AE4C0AB05445CAB896E42066B36A2,10,5D076681F9664480ABEC698522FA7661,1A-12
DC8AE4C0AB05445CAB896E42066B36A2,10,DD40CCF596464AFD9319AF7293CCC165,1A-13
DC8AE4C0AB05445CAB896E42066B36A2,10,CEEC0459BD7643C48CA43E3A54268926,1A-14
DC8AE4C0AB05445CAB896E42066B36A2,10,85BC8F3266EB44F8BD024A521905699E,1A-15
DC8AE4C0AB05445CAB896E42066B36A2,10,12AF64501328494A81CD5B79B4A108FD,1B-01
DC8AE4C0AB05445CAB896E42066B36A2,10,DBC5E34DDF40422EBAE4E52CB7292ACB,1B-02
DC8AE4C0AB05445CAB896E42066B36A2,10,EC775F269E404537AF4F1BE457968016,1B-03
DC8AE4C0AB05445CAB896E42066B36A2,10,17F55C677224483BBAB5F257C5757DD2,1B-04
DC8AE4C0AB05445CAB896E42066B36A2,10,25347C0D882C48E18D340D67430FBE22,1B-05
DC8AE4C0AB05445CAB896E42066B36A2,10,3C44FD5C949B45A0BFC6513B5A2A5FA6,1B-06
DC8AE4C0AB05445CAB896E42066B36A2,10,5794E876302D4869B6FD25A173CCCD7C,1B-07
