granary_id,longitude,latitude,address_cn,heap_id,detection_time,temperature_grain,grid_x,grid_y,grid_z,avg_grain_temp,max_temp,min_temp,temperature_inside,humidity_warehouse,temperature_outside,humidity_outside,warehouse_type
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,23.75,1,1,1,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,24.875,1,1,2,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,21.5,1,1,3,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,21.625,1,1,4,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,20.25,1,1,5,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,23.0,1,1,6,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,27.375,1,2,1,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,25.0,1,2,2,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,26.5,1,2,3,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,29.0,1,2,4,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,28.875,1,2,5,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,27.875,1,2,6,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,29.25,1,3,1,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,25.5,1,3,2,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,26.5,1,3,3,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,27.5,1,3,4,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,29.375,1,3,5,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,26.5,1,3,6,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,22.625,1,4,1,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,21.625,1,4,2,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,22.875,1,4,3,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,25.875,1,4,4,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,24.0,1,4,5,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,20.875,1,4,6,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,21.625,2,1,1,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,20.75,2,1,2,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,20.375,2,1,3,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,21.5,2,1,4,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,21.0,2,1,5,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,21.125,2,1,6,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,24.25,2,2,1,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,24.0,2,2,2,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,24.25,2,2,3,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,24.75,2,2,4,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,24.875,2,2,5,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,25.0,2,2,6,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,26.375,2,3,1,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,23.25,2,3,2,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,25.0,2,3,3,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,25.375,2,3,4,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,26.0,2,3,5,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,26.875,2,3,6,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,24.625,2,4,1,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,23.375,2,4,2,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,23.75,2,4,3,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,25.0,2,4,4,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,23.25,2,4,5,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,22.625,2,4,6,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,23.0,3,1,1,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,22.625,3,1,2,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,22.0,3,1,3,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,22.0,3,1,4,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,19.75,3,1,5,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,21.5,3,1,6,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,25.875,3,2,1,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,25.125,3,2,2,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,26.25,3,2,3,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,25.125,3,2,4,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,25.0,3,2,5,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,24.875,3,2,6,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,27.625,3,3,1,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,25.0,3,3,2,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,25.0,3,3,3,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,26.375,3,3,4,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,26.25,3,3,5,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,26.625,3,3,6,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,24.125,3,4,1,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,24.375,3,4,2,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,23.0,3,4,3,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,25.125,3,4,4,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,23.375,3,4,5,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,19.875,3,4,6,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,30.25,4,1,1,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,22.75,4,1,2,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,20.0,4,1,3,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,21.125,4,1,4,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,20.375,4,1,5,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,21.375,4,1,6,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,31.75,4,2,1,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,24.5,4,2,2,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,20.25,4,2,3,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,25.5,4,2,4,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,24.875,4,2,5,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,28.625,4,2,6,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,30.5,4,3,1,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,24.75,4,3,2,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,20.25,4,3,3,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,26.75,4,3,4,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,26.25,4,3,5,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,29.375,4,3,6,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,21.0,4,4,1,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
蚬冈库,122.3536,36.1458,开平市蚬冈镇,P1-1-01堆位,2024-08-18,23.875,4,4,2,24.285,31.75,19.5,24.595,63.505,29.15,81.19999999999999,平房仓
